,DMS,NM
0,0.004721770917952884,0.004609563123495012
1,0.0035286352558895205,0.004403164774681802
2,0.0019039398862713242,0.0027519779841761265
3,0.021755686433793664,0.07299621603027176
4,0.00522948822095857,0.0035087719298245615
5,0.0027416734362307065,0.0026831785345717233
6,0.0023354995938261575,0.0017887856897144823
7,0.0021070268074735985,0.0017199862401100791
8,0.0020816409423233145,0.0020639834881320948
9,0.0020054833468724615,0.002132782937736498
10,0.001573923639317628,0.0019263845889232886
11,0.0019039398862713242,0.0017887856897144823
12,0.0022339561332250205,0.0027519779841761265
13,0.0018023964256701868,0.0014447884416924665
14,0.0020054833468724615,0.00130718954248366
15,0.002132412672623883,0.0015823873409012727
16,0.002767059301380991,0.001651186790505676
17,0.002767059301380991,0.00261437908496732
18,0.003147847278635256,0.002132782937736498
19,0.0037571080422420795,0.002476780185758514
20,0.00393480909829407,0.002132782937736498
21,0.003554021121039805,0.0019263845889232886
22,0.003300162469536962,0.0013759889920880633
23,0.0029701462225832655,0.0011695906432748538
24,0.0023354995938261575,0.0008943928448572412
25,0.0015231519090170593,0.0005503955968352253
26,0.0010408204711616572,0.00048159614723082214
27,0.0006092607636068237,0.00027519779841761265
28,0.0004823314378554021,0.0003439972480220158
29,0.00027924451665312756,0.00013759889920880633
30,0.0002284727863525589,0.0
31,0.00010154346060113728,6.879944960440316e-05
32,0.0001269293257514216,6.879944960440316e-05
33,7.615759545085297e-05,6.879944960440316e-05
34,2.538586515028432e-05,0.0
35,2.538586515028432e-05,0.0
36,2.538586515028432e-05,0.0
37,0.0,0.0
38,2.538586515028432e-05,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,2.538586515028432e-05,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
